Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:37.808,
2,6,Riccardo PatresePAT,Williams Renault,1:39.416,+1.608s
3,1,Ayrton SennaSEN,McLaren Honda,1:39.756,+1.948s
4,2,Gerhard BergerBER,McLaren Honda,1:39.940,+2.132s
5,20,Martin BrundleBRU,Benetton Ford,1:42.072,+4.264s
6,27,Jean AlesiALE,Ferrari,1:42.115,+4.307s
7,25,Thierry BoutsenBOU,Ligier Renault,1:42.268,+4.460s
8,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:42.690,+4.882s
9,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:42.696,+4.888s
10,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:43.040,+5.232s
11,12,Johnny HerbertHER,Lotus Ford,1:43.178,+5.370s
12,26,Erik ComasCOM,Ligier Renault,1:43.314,+5.506s
13,9,Michele AlboretoALB,Footwork Mugen Honda,1:43.527,+5.719s
14,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:43.533,+5.725s
15,19,Michael SchumacherMSC,Benetton Ford,1:43.551,+5.743s
16,15,Gabriele TarquiniTAR,Fondmetal Ford,1:43.647,+5.839s
17,22,Pierluigi MartiniMAR,Dallara Ferrari,1:43.781,+5.973s
18,11,Mika HakkinenHAK,Lotus Ford,1:43.788,+5.980s
19,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:43.819,+6.011s
20,16,Karl WendlingerWEN,March Ilmor,1:43.854,+6.046s
21,23,Alessandro ZanardiZAN,Minardi Lamborghini,1:44.055,+6.247s
22,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:44.433,+6.625s
23,17,Paul BelmondoBEL,March Ilmor,1:44.618,+6.810s
24,28,Ivan CapelliCAP,Ferrari,1:44.742,+6.934s
25,32,Stefano ModenaMOD,Jordan Yamaha,1:44.949,+7.141s
26,14,Andrea ChiesaCHI,Fondmetal Ford,1:45.325,+7.517s
27,29,Bertrand GachotGAC,Venturi Lamborghini,1:45.634,+7.826s
28,33,Mauricio GugelminGUG,Jordan Yamaha,1:45.716,+7.908s
29,7,Eric van de PoeleVAN,Brabham Judd,1:45.992,+8.184s
30,8,Damon HillHIL,Brabham Judd,1:46.215,+8.407s
