Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,81,Oscar PiastriPIA,McLaren Mercedes,1:25.979,1:25.496,1:24.454,18
2,4,Lando NorrisNOR,McLaren Mercedes,1:25.672,1:24.947,1:24.536,14
3,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:25.510,1:25.199,1:24.646,12
4,63,George RussellRUS,Mercedes,1:25.413,1:25.027,1:24.841,17
5,55,Carlos SainzSAI,Ferrari,1:25.872,1:25.433,1:25.155,21
6,16,Charles LeclercLEC,Ferrari,1:26.266,1:25.367,1:25.247,21
7,27,Nico HulkenbergHUL,Haas Ferrari,1:26.450,1:25.499,1:25.320,16
8,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:26.123,1:25.143,1:25.382,17
9,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:25.936,1:25.344,DNF,13
10,31,Esteban OconOCO,Alpine Renault,1:26.072,1:25.510,DNF,15
11,10,Pierre GaslyGAS,Alpine Renault,1:25.829,1:25.686,,12
12,44,Lewis HamiltonHAM,Mercedes,1:26.424,1:25.962,,14
13,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:26.449,1:26.236,,8
14,40,Liam LawsonLAW,AlphaTauri Honda RBPT,1:26.202,1:26.584,,12
15,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:26.669,1:54.546,,10
16,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:26.849,,,8
17,23,Alexander AlbonALB,Williams Mercedes,1:26.862,,,6
18,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:26.926,,,6
19,20,Kevin MagnussenMAG,Haas Ferrari,1:27.438,,,5
NC,2,Logan SargeantSAR,Williams Mercedes,2:05.741,,,7
