STOPS,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,TOTAL
1,5,Gabriel BortoletoBOR,Kick Sauber,1,15:05:40,23.385,23.385
1,10,Pierre GaslyGAS,Alpine,10,15:20:20,23.138,23.138
1,22,Yuki TsunodaTSU,Racing Bulls,11,15:21:55,22.519,22.519
1,31,Esteban OconOCO,Haas,11,15:21:57,23.114,23.114
1,7,Jack DoohanDOO,Alpine,11,15:22:03,22.793,22.793
1,12,Kimi AntonelliANT,Mercedes,12,15:23:33,22.675,22.675
1,6,Isack HadjarHAD,Racing Bulls,12,15:23:35,22.896,22.896
1,44,Lewis HamiltonHAM,Ferrari,13,15:25:02,22.388,22.388
1,1,Max VerstappenVER,Red Bull Racing,13,15:25:08,22.454,22.454
1,81,Oscar PiastriPIA,McLaren,14,15:26:32,23.938,23.938
1,63,George RussellRUS,Mercedes,14,15:26:38,22.324,22.324
1,4,Lando NorrisNOR,McLaren,15,15:28:14,22.213,22.213
1,16,Charles LeclercLEC,Ferrari,15,15:28:19,22.151,22.151
1,55,Carlos SainzSAI,Williams,17,15:31:57,22.721,22.721
1,30,Liam LawsonLAW,Red Bull Racing,18,15:33:41,22.536,22.536
1,23,Alexander AlbonALB,Williams,20,15:36:47,23.362,23.362
1,27,Nico HulkenbergHUL,Kick Sauber,20,15:37:16,22.959,22.959
1,87,Oliver BearmanBEA,Haas,26,15:46:48,22.808,22.808
2,5,Gabriel BortoletoBOR,Kick Sauber,26,15:47:23,22.790,46.175
2,30,Liam LawsonLAW,Red Bull Racing,30,15:53:39,22.355,44.891
2,6,Isack HadjarHAD,Racing Bulls,33,15:58:23,22.234,45.130
2,22,Yuki TsunodaTSU,Racing Bulls,35,16:01:33,22.583,45.102
1,18,Lance StrollSTR,Aston Martin,36,16:03:08,22.995,22.995
2,44,Lewis HamiltonHAM,Ferrari,37,16:04:25,22.364,44.752
3,22,Yuki TsunodaTSU,Racing Bulls,46,16:19:46,38.102,1:23.204
