POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:09.890,28
2,14,Fernando AlonsoALO,Aston Martin,+0.087s,20
3,81,Oscar PiastriPIA,McLaren,+0.089s,29
4,63,George RussellRUS,Mercedes,+0.384s,25
5,1,Max VerstappenVER,Red Bull Racing,+0.588s,23
6,44,Lewis HamiltonHAM,Ferrari,+0.848s,22
7,22,Yuki TsunodaTSU,Red Bull Racing,+0.905s,26
8,16,Charles LeclercLEC,Ferrari,+0.944s,23
9,43,Franco ColapintoCOL,Alpine,+1.067s,26
10,27,Nico HulkenbergHUL,Kick Sauber,+1.190s,25
11,87,Oliver BearmanBEA,Haas,+1.223s,26
12,12,Kimi AntonelliANT,Mercedes,+1.295s,21
13,5,Gabriel BortoletoBOR,Kick Sauber,+1.430s,25
14,30,Liam LawsonLAW,Racing Bulls,+1.449s,25
15,31,Esteban OconOCO,Haas,+1.471s,23
16,55,Carlos SainzSAI,Williams,+1.792s,30
17,23,Alexander AlbonALB,Williams,+1.866s,16
18,18,Lance StrollSTR,Aston Martin,+2.085s,7
19,10,Pierre GaslyGAS,Alpine,+2.232s,28
20,6,Isack HadjarHAD,Racing Bulls,,1
