POS.,NO.,DRIVER,TEAM,LAPS,TIME / RETIRED,PTS.
1,1,Max VerstappenVER,Red Bull Racing,53,1:22:06.983,25
2,4,Lando NorrisNOR,McLaren,53,+1.423s,18
3,81,Oscar PiastriPIA,McLaren,53,+2.129s,15
4,16,Charles LeclercLEC,Ferrari,53,+16.097s,12
5,63,George RussellRUS,Mercedes,53,+17.362s,10
6,12,Kimi AntonelliANT,Mercedes,53,+18.671s,8
7,44,Lewis HamiltonHAM,Ferrari,53,+29.182s,6
8,6,Isack HadjarHAD,Racing Bulls,53,+37.134s,4
9,23,Alexander AlbonALB,Williams,53,+40.367s,2
10,87,Oliver BearmanBEA,Haas,53,+54.529s,1
11,14,Fernando AlonsoALO,Aston Martin,53,+57.333s,0
12,22,Yuki TsunodaTSU,Red Bull Racing,53,+58.401s,0
13,10,Pierre GaslyGAS,Alpine,53,+62.122s,0
14,55,Carlos SainzSAI,Williams,53,+74.129s,0
15,7,Jack DoohanDOO,Alpine,53,+81.314s,0
16,27,Nico HulkenbergHUL,Kick Sauber,53,+81.957s,0
17,30,Liam LawsonLAW,Racing Bulls,53,+82.734s,0
18,31,Esteban OconOCO,Haas,53,+83.438s,0
19,5,Gabriel BortoletoBOR,Kick Sauber,53,+83.897s,0
20,18,Lance StrollSTR,Aston Martin,52,+1 lap,0
