POS.,NO.,DRIVER,TEAM,TIME
1,81,Oscar PiastriPIA,McLaren,1:40.510
2,1,Max VerstappenVER,Red Bull Racing,1:40.987
3,4,Lando NorrisNOR,McLaren,1:41.128
4,16,Charles LeclercLEC,Ferrari,1:41.278
5,31,Esteban OconOCO,Haas,1:41.565
6,55,Carlos SainzSAI,Williams,1:41.761
7,87,Oliver BearmanBEA,Haas,1:41.857
8,10,Pierre GaslyGAS,Alpine,1:41.959
9,6,Isack HadjarHAD,Racing Bulls,1:41.971
10,5,Gabriel BortoletoBOR,Kick Sauber,1:42.176
11,30,Liam LawsonLAW,Racing Bulls,1:42.169
12,22,Yuki TsunodaTSU,Red Bull Racing,1:42.184
13,63,George RussellRUS,Mercedes,1:42.330
14,14,Fernando AlonsoALO,Aston Martin,1:42.453
15,18,Lance StrollSTR,Aston Martin,1:42.832
16,23,Alexander AlbonALB,Williams,1:43.212
17,27,Nico HulkenbergHUL,Kick Sauber,1:43.217
18,44,Lewis HamiltonHAM,Ferrari,1:43.408
19,12,Kimi AntonelliANT,Mercedes,1:45.394
20,43,Franco ColapintoCOL,Alpine,1:43.587
