POS.,NO.,DRIVER,TEAM,Q1,Q2,Q3,LAPS
1,81,Oscar PiastriPIA,McLaren,1:41.769,1:42.128,1:40.510,11
2,1,Max VerstappenVER,Red Bull Racing,1:42.043,1:41.583,1:40.987,9
3,4,Lando NorrisNOR,McLaren,1:42.068,1:41.412,1:41.128,12
4,16,Charles LeclercLEC,Ferrari,1:42.763,1:41.786,1:41.278,12
5,31,Esteban OconOCO,Haas,1:42.822,1:41.801,1:41.565,12
6,55,Carlos SainzSAI,Williams,1:42.776,1:42.051,1:41.761,11
7,87,Oliver BearmanBEA,Haas,1:43.024,1:42.019,1:41.857,12
8,10,Pierre GaslyGAS,Alpine,1:43.171,1:41.949,1:41.959,12
9,6,Isack HadjarHAD,Racing Bulls,1:42.711,1:42.088,1:41.971,11
10,5,Gabriel BortoletoBOR,Kick Sauber,1:42.806,1:41.901,1:42.176,12
11,30,Liam LawsonLAW,Racing Bulls,1:42.897,1:42.169,,9
12,22,Yuki TsunodaTSU,Red Bull Racing,1:42.912,1:42.184,,9
13,63,George RussellRUS,Mercedes,1:42.650,1:42.330,,8
14,14,Fernando AlonsoALO,Aston Martin,1:42.427,1:42.453,,7
15,18,Lance StrollSTR,Aston Martin,1:42.736,1:42.832,,8
16,23,Alexander AlbonALB,Williams,1:43.212,,,6
17,27,Nico HulkenbergHUL,Kick Sauber,1:43.217,,,6
18,44,Lewis HamiltonHAM,Ferrari,1:43.408,,,6
19,43,Franco ColapintoCOL,Alpine,1:43.587,,,6
20,12,Kimi AntonelliANT,Mercedes,1:45.394,,,6
